Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift,PLZ,Firmenort,Telefon,Website,Verfügbarkeit
Stromversorgung Neunkirchen GmbH,True,,,,,,,,,09123 1730,www.stwl.lauf.de,regional
StWL Städtische Werke Lauf a.d. Pegnitz GmbH,True,,,,,,,,,09123 1730,www.stwl.lauf.de,regional
susiEnergie GmbH,,True,True,True,,,Gerberstrasse 7,88250,Weingarten,0800 7874123,,
Technische Werke Schussental GmbH & Co. KG,,True,,,,,Schussenstraße 22,88212,Ravensburg,0751 8044980,www.tws.de,
Verbandsgemeindewerk Dannstadt-Schauernheim,True,,,,,,,,,06231 4010,www.vg-werk-dannstadt-schauernheim.de,regional
Verbandsgemeindewerke Dudenhofen,True,,,,,,,,,06232 6560,www.vgrd.de,regional
Verbandsgemeindewerke Eisenberg/Ramsen,True,,,,,,,,,06351 407100,www.vgwerke-eisenberg.de,regional
Verbandsgemeindewerke Enkenbach-Alsenborn,True,,,,,,,,,06303 913124,www.enkenbach-alsenborn.de,regional
Verbandsgemeindewerke Hettenleidelheim,True,,,,,,,,,0621 585-2010,www.vg-h.de,regional
Verbandsgemeindewerke Hochspeyer,True,,,,,,,,,06305 710,www.vgw-hochspeyer.de,regional
Verbands- und Gemeindewerke Rülzheim,True,,,,,,,,,07272 70021011,www.gemeindewerke-ruelzheim.de,regional
Wadersloh Energie GmbH,,True,,,,,Liesborner Straße 5,59329,Wadersloh,02523 9501888,www.wadersloh-energie.de,
Wemio / Wemag AG,True,,True,True,,,Obotritenring 40,19053,Schwerin,0385 7552755,www.wemag.com/,bundesweit
