,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
141,Verbands- und Gemeindewerke Rülzheim,True,,,,,,,,,07272 70021011,www.gemeindewerke-ruelzheim.de,regional,Am Deutschordensplatz 1,76761,Rülzheim,True,True
142,Wadersloh Energie GmbH,,True,,,,,Liesborner Straße 5,59329,Wadersloh,02523 9501888,www.wadersloh-energie.de,,Liesborner Straße 5,59329,Wadersloh,True,True
143,Wemio / Wemag AG,True,,True,True,,,Obotritenring 40,19053,Schwerin,0385 7552755,www.wemag.com/,bundesweit,,,,,
144,RheinEnergie AG,,,,,,,,,,,,,Parkgürtel 24,50823,Köln,True,True
145,WSW Energie & Wasser AG,,,,,,,,,,,,,Bromberger Str. 39 - 41,42281,Wuppertal,True,True
146,enercity AG,,,,,,,,,,,,,Ihmeplatz 2,30449,Hannover,True,True
147,Elektrizitätswerke Schönau Vertriebs GmbH,,,,,,,,,,,,,Friedrichstraße 53/55,79677,Schönau/Schw.,True,True
148,Stadtwerke Leipzig GmbH,,,,,,,,,,,,,Eutritzscher Str. 17-19,04105,Leipzig,True,True
149,Stadtwerke Soest GmbH,,,,,,,,,,,,,Aldegreverwall 12,59494,Soest,True,True
150,Energiedienst AG,,,,,,,,,,,,,Schönenbergerstr. 10,79618,Rheinfelden,True,True
151,die energievorsorger GmbH,,,,,,,,,,,,,Höhenweg 14,49170,Hagen a.T.W.,True,True
152,MAINGAU Energie GmbH,,,,,,,,,,,,,Ringstraße 4 - 6,63179,Obertshausen,True,True
153,eprimo GmbH,,,,,,,,,,,,,Flughafenstrasse 20,63263,Neu-Isenburg,True,True
154,Yello Strom GmbH,,,,,,,,,,,,,Siegburger Straße 229,50679,Köln,True,True
155,team energie GmbH & Co. KG,,,,,,,,,,,,,team Allee 22,24392,Süderbrarup,True,True
156,MONTANA Energieversorgung GmbH & Co. KG,,,,,,,,,,,,,Dr.-Max-Straße 26,82031,Grünwald,True,True
157,lekker Energie GmbH,,,,,,,,,,,,,Invalidenstraße 17 a,10115,Berlin,True,True
