Firmenname,Grüner Strom,OK Power,Stromauskunft,Verivox,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Telefon,Website,Verfügbarkeit,Firmenanschrift,PLZ,Firmenort
TWS Technische Werke der Gemeinde Saarwellingen GmbH,,,,True,,,,,,,,,,
TWS Thüringer Wärme Service GmbH,,,,True,,,,,,,,,,
Überlandwerk Eppler GmbH,,,,True,,,,,,,,,,
Überlandwerk Erding GmbH & Co. KG,,,True,True,,,,,,,,Am Gries 21,85435,Erding
Überlandwerk Krumbach GmbH,,,True,True,,,,,,,,Bahnhofstraße 4,86381,Krumbach
Überlandwerk Leinetal GmbH,,,True,True,,,,,,,,Am Eltwerk 1,31028,Gronau
Überlandwerk Rhön GmbH,,,True,True,,,,,,,,Sondheimer Str. 5,97638,Mellrichstadt
Überlandwerk Schäftersheim GmbH & Co. KG,,,True,True,,,,,,,,Klosterhof 3,97990,Weikersheim
ubitricity Gesellschaft für verteilte Energiesysteme mbH,,,,True,,,,,,,,,,
Unterfränkische Überlandzentrale Lülsfeld eG,,,True,True,,,,,,,,Schallfelder Straße 11,97511,Lülsfeld
ÜZW Energie AG,,,True,True,,,,,,,,Regensburger Straße 33,84051,Altheim
Vattenfall Europe Sales GmbH,,,True,True,,,,,,,,Überseering 12,22297,Hamburg
Verbandsgemeinde Weilerbach Elektrizitätsversorgung,,,True,True,,,,,,,,Rummelstr. 15,67685,Weilerbach
Verbandsgemeindewerk Bruchmühlbach-Miesau,,,True,True,,,,,,,,Am Rathaus 2,66892,Bruchmühlbach-Miesau
Verbandsgemeindewerk Dannstadt-Schauernheim,True,,,True,,,,,06231 4010,www.vg-werk-dannstadt-schauernheim.de,regional,,,
Verbandsgemeindewerke Dahner Felsenland,,,True,True,,,,,,,,Schulstraße 29,66994,Dahn
Verbandsgemeindewerke Dudenhofen,True,,,,,,,,06232 6560,www.vgrd.de,regional,,,
Verbandsgemeindewerke Eisenberg/Ramsen,True,,,,,,,,06351 407100,www.vgwerke-eisenberg.de,regional,,,
Verbandsgemeindewerke Enkenbach-Alsenborn,True,,True,True,,,,,06303 913124,www.enkenbach-alsenborn.de,regional,Hauptstr. 18,67677,Enkenbach-Alsenborn
Verbandsgemeindewerke Hettenleidelheim,True,,,,,,,,0621 585-2010,www.vg-h.de,regional,,,
Verbandsgemeindewerke Hochspeyer,True,,,,,,,,06305 710,www.vgw-hochspeyer.de,regional,,,
Verbands- und Gemeindewerke Rülzheim,True,,True,True,,,,,07272 70021011,www.gemeindewerke-ruelzheim.de,regional,Am Deutschordensplatz 1,76761,Rülzheim
Vereinigte Gas- und Wasserversorgung GmbH,,,True,True,,,,,,,,Ringstraße 144,33378,Rheda-Wiedenbrück
Vereinigte Stadtwerke GmbH,,,True,True,,,,,,,,Schweriner Straße 90,23909,Ratzeburg
Vereinigte Wertach-Elektrizitätswerke GmbH,,,True,True,,,,,,,,Neugablonzer Straße 21,87600,Kaufbeuren
Versorgungsbetriebe Bordesholm GmbH,,,True,True,,,,,,,,Bahnhofstr. 13,24582,Bordesholm
Versorgungsbetriebe Elbe GmbH,,,True,True,,,,,,,,Hamburger Straße 9-11,21481,Lauenburg/Elbe
Versorgungsbetriebe Hann. Münden GmbH,,,True,True,,,,,,,,Werraweg 24,34346,Hann. Münden
Versorgungsbetriebe Hoyerswerda GmbH,,,True,True,,,,,,,,Industriegelände Str. A Nr. 7,02977,Hoyerswerda
Versorgungsbetriebe Kronshagen GmbH,,,True,True,,,,,,,,Kopperpahler Allee 7,24119,Kronshagen
Versorgungsbetriebe Röttingen,,,,True,,,,,,,,,,
Versorgungsbetriebe Zellingen,,,True,True,,,,,,,,Würzburger Straße 26,97225,Zellingen
Versorgungsbetrieb Waldbüttelbrunn GmbH,,,True,True,,,,,,,,Lindenstraße 3,97297,Waldbüttelbrunn
Ver- und Entsorgungsgesellschaft mbH Sersheim,,,,True,,,,,,,,,,
Vestische Energie GmbH,,,,True,,,,,,,,,,
ViShare - in Kooperation mit der Digital Energy Solutions GmbH & Co. KG,,,,True,,,,,,,,,,
vivi-power GmbH,,,True,True,,,,,,,,Industriestraße 2,68519,Viernheim
voltera - eine Marke der Energy2day GmbH,,,,True,,,,,,,,,,
Vorarlberger Kraftwerke AG,,,True,,,,,,,,,Sedanstr. 19,88161,Lindenberg
VWS Verbundwerke Südwestsachsen GmbH,,,True,True,,,,,,,,Hartensteiner Straße 7,09350,Lichtenstein
Wadersloh Energie GmbH,,True,True,True,,,,,02523 9501888,www.wadersloh-energie.de,,Liesborner Straße 5,59329,Wadersloh
Warendorfer Energieversorgung GmbH (WEV),,,True,True,,,,,,,,Hellegraben 25,48231,Warendorf
Warsteiner Verbundgesellschaft mbH,,,,True,,,,,,,,,,
Weißachtal-Kraftwerke eG,,,True,True,,,,,,,,Kalzhofer Str. 5,87534,Oberstaufen
Wemio / WEMAG AG,True,,True,True,True,True,,,0385 7552755,www.wemag.com/,bundesweit,Obotritenring 40,19053,Schwerin
Wendelsteinbahn GmbH,,,True,True,,,,,,,,Kerschelweg 30,83098,Brannenburg
"WEP Wärme-, Energie- und Prozesstechnik GmbH",,,,True,,,,,,,,,,
Werraenergie GmbH,,,True,True,,,,,,,,August-Bebel-Straße 36-38,36433,Bad Salzungen
Werra-Strom GmbH,,,True,True,,,,,,,,Hinter dem Deich 9,37213,Witzenhausen
WestEnergie GmbH,,,True,,,,,,,,,Mühlenstraße 30,41812,Erkelenz
Westenthanner Energieversorgung GmbH,,,,True,,,,,,,,,,
Westfalen AG,,,,True,,,,,,,,,,
WestfalenWIND Strom GmbH,,,,True,,,,,,,,,,
Westfalica GmbH,,,True,True,,,,,,,,Steinstr. 9,32547,Bad Oeynhausen
WEVG Salzgitter GmbH & Co. KG,,,True,True,,,,,,,,Albert-Schweitzer-Straße 7-11,38226,Salzgitter
WIND LINE,,,,True,,,,,,,,,,
Wir Energie - eine Marke der Energiehaus Dresden eG,,,True,True,,,,,,,,Wiener Str. 114-116,01219,Dresden
Wirtschaftsbetriebe der Stadt NSHB Borkum GmbH,,,True,True,,,,,,,,Hindenburgstr. 110,26757,Borkum
WSE Energiedienstleistungen GmbH,,,,True,,,,,,,,,,
WSW Energie & Wasser AG,,,True,True,,,,,,,,Bromberger Str. 39 - 41,42281,Wuppertal
Wunderwerk AG,,,,True,,,,,,,,,,
Yello Strom GmbH,,,True,True,,,,,,,,Siegburger Straße 229,50679,Köln
ZEAG Energie AG,,,True,True,,,,,,,,Weipertstraße 41,74076,Heilbronn
Ziegler GmbH & Co. KG,,,True,True,,,,,,,,Venedig 10,77876,Kappelrodeck
Zwickauer Energieversorgung GmbH,,,True,True,,,,,,,,Bahnhofstr. 4,08056,Zwickau
