Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
Gemeindewerke Bobenheim-Roxheim,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,,?,,,,,,,,,x,
Gemeindewerke Budenheim AöR,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,,A,,,,,,,,,,
Gemeindewerke Frammersbach,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,,A,,,,,,,,,,
Gemeindewerke Garmisch-Partenkirchen,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,,A,,,,,,,,,,
Gemeindewerke Georgensgmünd,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,,A,,,,,,,,,,
Gemeindewerke Großkrotzenburg GmbH,Anne-Frank-Platz 10,63538,Großkrotzenburg,https://www.gemeindewerke-grosskrotzenburg.de,,A,,,,,,,,,,
Gemeindewerke Gundelfingen GmbH,Alte Bundesstr. 31,79194,Gundelfingen,https://www.gwg-gundelfingen.de,,R,?,30 % gehören badenova (verkaufen auch normalstrom),,,,,,,,
Gemeindewerke Halstenbek,Ostereschweg 9,25469,Halstenbek,https://www.gwhalstenbek.de,,A,,,,,,,,,,
Gemeindewerke Hardt,Mariazeller Str. 1,78739,Hardt,https://www.hardt-online.de,,A,,,,,,,,,,
Gemeindewerke Haßloch GmbH,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,https://www.gwhassloch.de,,A,,,,,,,,,,
Gemeindewerke Heikendorf GmbH,Wasserwaage 1,24226,Heikendorf,https://www.gwh.sh,,R?,,,,,,,,,,
Gemeindewerke Hermaringen,Karlstr. 12,89568,Hermaringen,https://gemeindewerke-hermaringen.de,,R?,,,,,,,,KlimaINVEST,,
Gemeindewerke Herxheim,Am Rathaus 6,76863,Herxheim,https://www.gemeindewerke-herxheim.de,,A,,,x,,,,,TÜV Nord,,
Gemeindewerke Hohenwestedt GmbH,Am Gaswerk 8,24594,Hohenwestedt,https://www.gemeindewerke-hohenwestedt.de,,A,,,,,,,,,,
Gemeindewerke Holzkirchen GmbH,Industriestraße 8,83607,Holzkirchen,https://www.gw-holzkirchen.de,,A,,,,,,,,,,
Gemeindewerke Hünxe GmbH,In der Beckkuhl 4,46569,Hünxe,https://www.gemeindewerke-huenxe.de,,R?,,,,,,,,,,
Gemeindewerke Kiefersfelden,Kufsteiner Straße 17,83088,Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de,,R?,,,?,,,,x,x,,
Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,Burgstraße 11,67659,Kaiserslautern,https://www.swk-kl.de,,A,,,,,,,,,,
Gemeindewerke Leck GmbH,Büllsbüller Chaussee 7,25917,Leck,https://www.sw-nf.de,,A,,,,,,,,,,
Gemeindewerke Markt Lichtenau,Ansbacher Straße 11,91586,Lichtenau,https://gemeindewerke.markt-lichtenau.de,,R?,,Gesellschafter und Mitglied der Kooperationsgesellschaft fränkischer Elektrizitätswerke mbH,?,,,,,RenewablePLUS,,
Gemeindewerke Neuendettelsau,Johann-Flierl-Str. 19,91564,Neuendettelsau,https://www.gw-neuendettelsau.de,,A,,,,,,,,,,
Gemeindewerke Niefern-Öschelbronn,Friedenstraße 11,75223,Niefern-Öschelbronn,https://www.niefern-oeschelbronn.de,,A,,,,,,,,,,
Gemeindewerke Nüdlingen,Kissinger Str. 1,97720,Nüdlingen,https://www.nuedlingen.de,,R?,,,?,,,,,Naturstrom Wasser und Wald PLUS,,
