"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE925825621660";"In Betrieb";"8,2 kW";"Solare Strahlungsenergie";"09127 Chemnitz
Deutschland";"8,28";"8,28";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"21.12.2009";"";"natürliche Person (ABR909972349967)";"EEG903544056734";"inetz GmbH (SNB916663914472)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"21.12.2009";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE977085526414";"In Betrieb";"HS I1";"Wind";"Nordsee
Cluster: 8
Deutschland";"7.000";"7.000";"Windkraft auf See";"18.07.2019";"Horizontalläufer";"EnBW Hohe See GmbH & Co. KG";"EEG923668337007
SGE915391223061";"TenneT TSO GmbH (SNB970033313272)";"Hochspannung";"18.07.2019";"";"";"";"Bundesamt für Seeschifffahrt und Hydrographie";"5111/EnBW Hohe See/PFV/M5317";"30.11.2016";"05.08.2019";"05.08.2019";"06.08.2019";"";"B";"Ungeprüft"
"SEE961101894205";"In Betrieb";"Gezeiten";"Solare Strahlungsenergie";"23946 Ostseebad Boltenhagen
Deutschland";"8,06";"8,06";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.05.2019";"";"WEG Strandvilla Gezeiten";"EEG983867400506";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.05.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE902758789896";"In Planung";"Blankenhof";"Solare Strahlungsenergie";"17039 Blankenhof
Neubrandenburger Straße 7
Deutschland";"476";"476";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"";"";"Burg Lichtenfels Energie GmbH & Co. KG";"";"E.DIS Netz GmbH (SNB941690671609)";"Mittelspannung";"";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";""
"SEE975697104891";"In Betrieb";"Kesselstadt K2";"Wasser";"63477 Maintal
Kesselstädter Straße 60
Deutschland";"2.600";"2.400";"";"01.01.1921";"";"Uniper Kraftwerke GmbH";"EEG911656009333";"EnergieNetz Mitte GmbH (SNB971311555230)";"Mittelspannung";"01.01.1921";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE947506918982";"In Betrieb";"WS41";"Solare Strahlungsenergie";"73431 Aalen
Deutschland";"4,32";"3,68";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"03.06.2019";"";"natürliche Person (ABR980283829416)";"EEG996717950861";"Stadtwerke Aalen GmbH (SNB982726407335)";"";"03.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Abgeschlossen"
"SEE912859655914";"In Betrieb";"PV Am Speyerbach 85";"Solare Strahlungsenergie";"67433 Neustadt
Deutschland";"5,04";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.12.2016";"";"Stadtwerke Neustadt an der Weinstraße";"EEG997797703156";"Stadtwerke Neustadt an der Weinstraße GmbH (SNB942305388936)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.12.2016";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE911900655507";"In Betrieb";"Solaranlage von 2011";"Solare Strahlungsenergie";"33719 Bielefeld
Deutschland";"4,44";"4,44";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.07.2011";"";"natürliche Person (ABR913359822202)";"EEG983922558173";"SWB Netz GmbH (SNB918516395612)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2011";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE964321624270";"In Betrieb";"Öko Solar 67823";"Solare Strahlungsenergie";"67823 Obermoschel
Deutschland";"9,86";"9,86";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.01.2019";"";"PFALZWERKE AKTIENGESELLSCHAFT";"EEG934190720540";"Pfalzwerke Netz AG (SNB961471621746)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.01.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE955227789071";"In Betrieb";"BHKW Schulzentrum HG";"Erdgas";"56203 Höhr-Grenzhausen
Am Scheidberg 2
Deutschland";"50";"48";"Erdgas, Erdölgas";"11.04.2019";"Verbrennungsmotor";"Kreisverwaltung des Westerwaldkreises";"KWK907678243794";"Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"81";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
